catalog_id,catalog,container_id,container,type_id,content_type,event_part_type
8051,congress_lithuania_2014,36343,2012-03-22_heb_rav_lesson_congress_n0,4,LESSON_PART,
8095,congress_usa_new-jersey_2012,32725,2012-05-12_heb_rav_program_congress_sadna-1,1,LESSON_PART,
8095,congress_usa_new-jersey_2012,32727,2012-05-12_heb_rav_program_congress_sadna-2,1,LESSON_PART,
8095,congress_usa_new-jersey_2012,32731,2012-05-12_heb_rav_program_congress_sadna-3,1,LESSON_PART,
8095,congress_usa_new-jersey_2012,32737,2012-05-13_heb_rav_program_congress_sadna-4,1,LESSON_PART,
8095,congress_usa_new-jersey_2012,33106,2012-05-12_heb_norav_program_congress_erev-tarbut,1,EVENT_PART,EREV_TARBUT
8026,congress_mexico_2015,58441,2015-07-17_rav_program_congress_sadna-1,1,LESSON_PART,
8026,congress_mexico_2015,58437,2015-07-17_norav_program_congress_yeshivat-haverim-1,1,FRIENDS_GATHERING,
8026,congress_mexico_2015,58442,2015-07-17_norav_program_congress_yeshivat-haverim-2,1,FRIENDS_GATHERING,
8026,congress_mexico_2015,58444,2015-07-17_norav_program_congress_yeshivat-haverim-3,1,FRIENDS_GATHERING,
8026,congress_mexico_2015,58450,2015-07-17_norav_program_congress_yeshivat-haverim-4,1,FRIENDS_GATHERING,
8075,congress_russia_petersburg_2016,64896,2016-07-29_norav_program_congress_yeshivat-haverim-1,1,FRIENDS_GATHERING,
8075,congress_russia_petersburg_2016,64899,2016-07-29_norav_program_congress_yeshivat-haverim-2,1,FRIENDS_GATHERING,
8075,congress_russia_petersburg_2016,64895,2016-07-28_norav_program_congress_yeshivat-haverim-0,1,FRIENDS_GATHERING,
8075,congress_russia_petersburg_2016,64901,2016-07-29_norav_program_congress_yeshivat-haverim-3,1,FRIENDS_GATHERING,
8075,congress_russia_petersburg_2016,64903,2016-07-29_norav_program_congress_yeshivat-haverim-4,1,FRIENDS_GATHERING,
8075,congress_russia_petersburg_2016,64904,2016-07-29_norav_program_congress_yeshivat-haverim-5,1,FRIENDS_GATHERING,
8075,congress_russia_petersburg_2016,64906,2016-07-29_norav_program_congress_yeshivat-haverim-6,1,FRIENDS_GATHERING,
8075,congress_russia_petersburg_2016,64908,2016-07-29_norav_program_congress_yeshivat-haverim-7,1,FRIENDS_GATHERING,
8075,congress_russia_petersburg_2016,64910,2016-07-29_norav_program_congress_yeshivat-haverim-8,1,FRIENDS_GATHERING,
8075,congress_russia_petersburg_2016,64912,2016-07-29_norav_program_congress_yeshivat-haverim-9,1,FRIENDS_GATHERING,
8075,congress_russia_petersburg_2016,64914,2016-07-29_rav_program_congress_yeshivat-haverim-10,1,FRIENDS_GATHERING,
8086,congress_usa_new-york_2007-01,9907,2007-01-14_bs-sod-kaf-enochi_rus_rav_shiur_ny_04_congress,4,LESSON_PART,
8086,congress_usa_new-york_2007-01,9978,2007-01-08_xx_eng_norav_clip_ny_congress_hatzaga_herut,2,CLIP,
8086,congress_usa_new-york_2007-01,9979,2007-01-08_xx_eng_norav_clip_ny_congress_hatzaga_sandak,2,CLIP,
8111,congress_israel_haolami_2010-11,25487,2010-11-09_heb_rav_program_congress_prezentatzia_tekes-ptiha,1,EVENT_PART,TEKES_PTIHA
8111,congress_israel_haolami_2010-11,25488,2010-11-09_heb_norav_program_congress_yeshivat-haverim,1,FRIENDS_GATHERING,
8111,congress_israel_haolami_2010-11,25491,2010-11-09_heb_norav_program_congress_erev-tarbut,1,EVENT_PART,EREV_TARBUT
8111,congress_israel_haolami_2010-11,25494,2010-11-10_heb_norav_program_congress_prezentatzia_n2,1,EVENT_PART,ATZAGAT_PROEKT
8111,congress_israel_haolami_2010-11,25495,2010-11-10_heb_norav_program_congress_yeshivat-haverim,1,FRIENDS_GATHERING,
8111,congress_israel_haolami_2010-11,25498,2010-11-10_heb_norav_program_congress_erev-tarbut,1,EVENT_PART,EREV_TARBUT
8111,congress_israel_haolami_2010-11,25500,2010-11-11_heb_norav_program_congress_prezentatzia_n3,1,EVENT_PART,ATZAGAT_PROEKT
