catalog.id,catalog.parent_id,containers.count,containers.ids
4126,3672,57,"{22345,22440,22508,22653,22732,22814,22902,22981,23033,23109,23219,23313,23379,23421,23483,23534,23561,23609,23670,23713,23759,23809,23851,23923,23985,24075,24106,24148,24180,24235,24281,24334,24372,24427,24459,24521,24565,24618,24666,24705,24742,24781,24852,24877,24920,24945,25006,25068,25116,25190,25244,25293,25340,25381,25420,25460,27083}"
4135,3672,35,"{22460,22528,22552,22730,22831,22983,23017,23098,23258,23291,23443,23576,23577,23770,23771,23984,24065,24215,24327,24471,24472,24824,24924,25039,25120,25652,25758,25831,25865,25866,25968,26032,26035,26132,26318}"
4136,3672,21,"{22201,22248,22571,22572,22717,22768,22808,23040,23122,23579,23626,24009,24011,24012,24015,24119,24120,24410,24411,25022,25427}"
4153,3672,29,"{22788,22789,22790,22791,22792,23214,23415,23753,23754,23846,23847,23886,23887,23888,23889,23890,23891,23892,23893,24093,24112,25696,25771,25929,25931,26044,26727,26728,26729}"
4198,3672,32,"{23190,23359,23412,23528,23692,23883,23884,23885,23909,23911,23912,24127,24129,24130,24330,24479,24611,24672,25024,25200,25201,25283,25664,25934,25935,25936,26047,26048,26049,26139,26265,26267}"
4266,3672,8,"{23508,23509,23510,23511,23512,24268,24269,24446}"
4275,3672,9,"{24013,24014,24016,24017,24018,24019,24020,24023,24024}"
4276,3672,36,"{24285,24298,24350,24377,24650,24788,25035,25275,25354,25436,25542,25543,25560,25649,25770,25783,25784,25829,25926,25945,26031,26129,26424,26460,27003,27150,27151,27193,27329,27657,27845,27849,28072,28216,28766,29533}"
4277,3672,14,"{22526,22706,22767,22864,23015,23016,24072,24604,24669,24821,24902,25769,26461,27342}"
4294,3672,70,"{24185,24186,24188,24249,24289,24300,24301,24470,24515,24707,24736,24760,24905,24906,24925,25176,25177,25276,25320,25370,25425,25438,25855,25867,25988,26230,26362,26439,26497,26720,26877,26951,27049,27069,27070,27155,27156,27228,27295,27369,27370,27374,27375,27453,27508,27538,27558,27691,27745,27746,27773,28023,28149,28219,28261,28274,28437,28518,28601,28656,28690,28767,28867,28934,29196,29269,31280,36690,36789,38210}"
4300,3672,30,"{24368,24369,24535,24587,24648,24744,24786,24787,24855,24856,25036,25174,25175,25274,25353,25424,25454,25479,25480,25530,25559,65848,65849,65851,65853,65854,65855,65856,65857,65858}"
4301,3672,69,"{24384,24385,24386,24387,24477,24478,24537,24538,24608,24670,24790,24791,24826,25202,25203,25204,26138,26259,26260,26261,26262,26263,26264,26266,26383,26385,26511,26781,26782,26879,27114,27116,27198,27199,27422,27423,27424,27608,27609,27610,27611,27612,27613,27614,27850,27925,27926,27927,27928,27975,28280,28281,28657,28671,28672,28810,28811,28812,28813,29031,29114,29273,29275,29276,29461,29726,29823,29951,29952}"
4302,3672,11,"{24214,24324,24405,24536,24631,25145,26458,27866,28260,28359,56384}"
4304,3672,11,"{24444,24588,24605,24757,24822,25037,25147,25368,25650,25828,25966}"
4307,3672,7,"{24574,24575,24576,24589,24590,24693,26780}"
4313,3672,7,"{24907,24908,24909,24910,24911,24912,25933}"
4390,3672,33,"{26034,26072,26117,26130,26320,26323,26360,26361,26438,26508,26543,26577,26759,26778,26779,26794,26795,26844,26962,27040,27157,27169,27227,27331,27509,27747,27759,27834,27865,27941,28025,28077,29013}"
4434,3672,50,"{26436,26542,26791,26876,26982,27036,27037,27139,27154,27171,27388,27491,27888,28275,28363,28592,28866,29456,29457,29539,29540,29741,30208,31580,31581,31724,31867,31868,36578,37384,37665,37917,38211,53918,53919,54338,54451,54953,55198,55512,55513,55540,55772,55859,57120,57349,57808,58249,59881,68277}"
4438,3672,14,"{26523,26567,26569,26570,26571,26572,26573,26574,26575,26576,26578,26612,26615,26831}"
4441,3672,11,"{26522,26561,26562,26563,26564,26565,26566,26568,26689,26719,27170}"
