catalog_id,catalog_name,container_id,container_name,container.type_id,unit.id,unit.type_id,collection.id
8109,congress_israel_haolami_2009-02,17221,2009-02-04_xx_heb_norav_seuda_ta_congress-erev,4,12296,11,5820
8035,congress_italy_2010,21812,2010-01-22_xx_heb_rav_lesson_rome_megacongress-lesson-1,4,13851,11,6483
8035,congress_italy_2010,21813,2010-01-22_xx_heb_rav_lesson_rome_megacongress-lesson-2,4,13852,11,6483
8035,congress_italy_2010,21816,2010-01-23_xx_heb_rav_lesson_rome_megacongress-lesson-3,4,13855,11,6486
8035,congress_italy_2010,21817,2010-01-24_xx_heb_rav_lesson_rome_megacongress-lesson-4,4,13856,11,6487
8035,congress_italy_2010,21827,2010-01-22_xx_heb_rav_misc_rome_conversation-before-megacongress,4,13853,11,6484
8008,congress_russia_moscow_2011-06,28329,2011-06-10_rus_rav_lesson_congress_n1,4,16177,11,7500
8008,congress_russia_moscow_2011-06,28333,2011-06-10_rus_rav_lesson_congress_n2,4,16179,11,7501
8008,congress_russia_moscow_2011-06,28335,2011-06-11_rus_rav_lesson_congress_n3,4,16182,11,7504
8008,congress_russia_moscow_2011-06,28336,2011-06-11_rus_rav_lesson_congress_n4,4,16183,11,7504
8008,congress_russia_moscow_2011-06,28337,2011-06-11_rus_rav_lesson_congress_n5,4,16184,11,7505
8008,congress_russia_moscow_2011-06,28339,2011-06-12_rus_rav_lesson_congress_n6,4,16188,11,7509
8008,congress_russia_moscow_2011-06,28340,2011-06-12_rus_rav_lesson_congress_n7,4,16189,11,7509
8028,congress_brasil_2012,32140,2012-04-09_heb_rav_lesson_sheelot-kenes-brazil,4,17618,11,8164
8028,congress_brasil_2012,32610,2012-05-03_heb_rav_lesson_rb-shamati-008-evdel-bein-tzel,4,17715,11,8202
8028,congress_brasil_2012,32636,2012-05-04_heb_rav_lesson_congress_n1,4,17717,11,8203
8028,congress_brasil_2012,32638,2012-05-05_heb_rav_lesson_congress_n2,4,17719,11,8204
8028,congress_brasil_2012,32640,2012-05-05_heb_rav_lesson_congress_n3,4,17718,11,8204
8028,congress_brasil_2012,32643,2012-05-05_heb_rav_lesson_congress_n4,4,17720,11,8205
8028,congress_brasil_2012,32651,2012-05-06_heb_rav_lesson_congress_n5,4,17721,11,8206
8072,congress_russia_moscow_2013,47068,2013-12-13_rav_lesson_congress_n1,4,20612,11,9491
8072,congress_russia_moscow_2013,47069,2013-12-13_rav_lesson_congress_n2,4,20617,11,9492
8072,congress_russia_moscow_2013,47070,2013-12-13_norav_lesson_congress_n3,4,20618,11,9493
8072,congress_russia_moscow_2013,47073,2013-12-13_rav_lesson_congress_n4,4,20619,11,9494
8072,congress_russia_moscow_2013,47078,2013-12-13_rav_lesson_congress_n5,4,20620,11,9495
6954,congress_usa_los-angeles_2014,53836,2014-10-30_rav_lesson_meser-mi-rav,4,21855,11,9806
6954,congress_usa_los-angeles_2014,53865,2014-11-05_rav_lesson_siha-im-rav,4,21865,11,9809
6954,congress_usa_los-angeles_2014,53842,2014-10-31_rav_lesson_congress_n0,4,21858,11,9807
6954,congress_usa_los-angeles_2014,53824,2014-10-29_rav_lesson_achana-le-kenes,4,21851,11,9805
