Level,Position,Type,Name,Description,Pattern,en.name,en.description,he.name,he.description,ru.name,ru.description,de.name,de.description,es.name,es.description,tr.name,tr.description,ua.name,ua.description
2,11,PARASHA,Tzav,,zohar-la-am-hadash-tzav,Tzav,,צו,,Цав,,Zaw,,Tzav,,Tzav,,Цав,
1,10,VOLUME,Vol. 10,Zohar Hadash 2,,Vol. 10,,כרך י',זוהר חדש-ב,Том 10,,Band 10,,Vol. 10,,Cilt 10,,Том 10,
2,1,PARASHA,Ki Tisa,,zohar-la-am-hadash-ki-tisa,Ki Tisa,,כי תשא,,Тиса,,Ki Tisa,,Ki Tisá,,Ki Tisa,,Тіса,
2,2,PARASHA,Acharei,,zohar-la-am-hadash-aharei,Acharei,,אחרי,,Ахарей,,Acharei,,Ajaréi,,Akhrey,,Ахарей,
2,3,PARASHA,Behar,,zohar-la-am-hadash-behar,Behar,,בהר,,Бахар,,BaChar,,Behar,,Behar,,Бегар,
2,4,PARASHA,Naso,,zohar-la-am-hadash-naso,Naso,,נשוא,,Насо,,Naso,,Nasó,,Naso,,Насо,
2,5,PARASHA,Chukat,,zohar-la-am-hadash-chukat,Chukat,,חוקת,,Хукат,,Chukat,,Jukat,,Çukat,,Хукат,
2,6,PARASHA,Balak,,zohar-la-am-hadash-balak,Balak,,בלק,,Балак,,Balak,,Balak,,Balak,,Балак,
2,7,PARASHA,Matot,,zohar-la-am-hadash-matot,Matot,,מטות,,Матот,,Matot,,Matot,,Malot,,Матот,
2,8,PARASHA,Va'Etchanan,,zohar-la-am-hadash-vaetchanan,Va'Etchanan,,ואתחנן,,Вээтханан,,WaEtchanan,,Vaetjanán,,VaEtkhanan,,Ваетханан,
2,9,PARASHA,Ki Tetze,,zohar-la-am-hadash-ki-tetze,Ki Tetze,,כי תצא,,Ки Тецэ,,Ki Teze,,Ki Tetzé,,Ki Tetze,,Кі Теце,
2,10,PARASHA,Ki Tavo,,zohar-la-am-hadash-ki-tavo,Ki Tavo,,כי תבוא,,Таво,,Ki Tawo,,Ki Tavó,,Ki Tavo,,Кі Таво,
2,11,BOOK,Shir Hashirim,,zohar-la-am-hadash-shir-ha-shirim,Shir Hashirim,,שיר השירים,,,,,,,,,,,
2,12,BOOK,Midrash Ruth,,zohar-la-am-hadash-midrash-ruth,Midrash Ruth,,מדרש רות,,,,,,,,,,,
2,13,BOOK,Eicha,,zohar-la-am-hadash-eicha,Eicha,,איכה,,,,,,,,,,,
1,11,VOLUME,Vol. 11,Moadim,,Vol. 11,,כרך יא,מועדים,Том 11,,Band 11,,Vol. 11,,Cilt 11,,Том 11,
2,1,COLLECTION,Pesach,,zohar-la-am-pesach,Pesach,,מאמרים לפסח,,,,,,,,,,,
3,1,PARASHA,VaYera,,zohar-la-am-pesach-vayera,VaYera,,ויירא,,Ваера,,WaJera,,Vaierá,,VaYera,,Ваєра,
3,2,PARASHA,Shmot,,zohar-la-am-pesach-shmot,Shmot,,שמות,,Шмот,,Schmot,,Shemot,,Şemot,,Шмот,
3,3,PARASHA,Bo,,zohar-la-am-pesach-bo,Bo,,בוא,,Бо,,Bo,,Bo,,Bo,,Бо,
3,4,PARASHA,BeShalach,,zohar-la-am-pesach-beshalach,BeShalach,,בשלח,,Бешалах,,Beschalach,,Beshalaj,,BeŞalakh,,Бешалах,
3,5,PARASHA,VaYakhel,,zohar-la-am-pesach-vayakhel,VaYakhel,,ויקהל,,Вэикаэль,,Wejakel,,Vaiakhél,,VaYakhel,,Ваякгель,
3,6,PARASHA,Emor,,zohar-la-am-pesach-emor,Emor,,אמור,,Эмор,,Emor,,Emor,,Emor,,Емор,
3,7,PARASHA,Behaalotecha,,zohar-la-am-pesach-bealutcha,Behaalotecha,,בהעלותך,,Баалотха,,Bechaalotcha,,Behaalotjá,,Behaalotekha,,Беалотха,
3,8,PARASHA,Pinchas,,zohar-la-am-pesach-pinchas,Pinchas,,פינחס,,Пинхас,,Pinchas,,Pinjas,,Pinkhas,,Пінхас,
